dil,url_stranky,nazev_videa,youtube_id,youtube_url
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-14/,"Geometrie pro 3. ročník, strana 14, cvičení 1",j8I9lCaitSA,https://www.youtube.com/watch?v=j8I9lCaitSA
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-14/,"Geometrie pro 3. ročník, strana 14, cvičení 2",CHBy9xO674A,https://www.youtube.com/watch?v=CHBy9xO674A
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-14/,"Geometrie pro 3. ročník, strana 14, cvičení 3",ek1A2EDMOOM,https://www.youtube.com/watch?v=ek1A2EDMOOM
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-15/,"Geometrie pro 3. ročník, strana 15, úvod",t7Vj_QSABcw,https://www.youtube.com/watch?v=t7Vj_QSABcw
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-15/,"Geometrie pro 3. ročník, strana 15, cvičení 1",7mXcezUdh3U,https://www.youtube.com/watch?v=7mXcezUdh3U
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-15/,"Geometrie pro 3. ročník, strana 15, cvičení 2",1j6_bjl1Ei8,https://www.youtube.com/watch?v=1j6_bjl1Ei8
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-15/,"Geometrie pro 3. ročník, strana 15, cvičení 3",rp4v9ybw3Kc,https://www.youtube.com/watch?v=rp4v9ybw3Kc
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-16/,"Geometrie pro 3. ročník, strana 16, cvičení 1",k2axjkXsyzQ,https://www.youtube.com/watch?v=k2axjkXsyzQ
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-16/,"Geometrie pro 3. ročník, strana 16, cvičení 2",386bOslpYt8,https://www.youtube.com/watch?v=386bOslpYt8
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-16/,"Geometrie pro 3. ročník, strana 16, cvičení 3",UM1Lb7qhmwQ,https://www.youtube.com/watch?v=UM1Lb7qhmwQ
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-16/,"Geometrie pro 3. ročník, strana 16, cvičení 4",PoWIk8UBjk0,https://www.youtube.com/watch?v=PoWIk8UBjk0
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-16/,"Geometrie pro 3. ročník, strana 16, cvičení 5",E5HH3WiZ7jo,https://www.youtube.com/watch?v=E5HH3WiZ7jo
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-17/,"Geometrie pro 3. ročník, strana 17, úvod",xl_27Pviulk,https://www.youtube.com/watch?v=xl_27Pviulk
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-17/,"Geometrie pro 3. ročník, strana 17, cvičení 1",5cy8qTm1o9s,https://www.youtube.com/watch?v=5cy8qTm1o9s
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-17/,"Geometrie pro 3. ročník, strana 17, cvičení 2",71g12uYAeNc,https://www.youtube.com/watch?v=71g12uYAeNc
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-18/,"Geometrie pro 3. ročník, strana 18, úvod",lOoriAMg4rk,https://www.youtube.com/watch?v=lOoriAMg4rk
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-19/,"Geometrie pro 3. ročník, strana 19, cvičení 1",NkQ91grs9Z8,https://www.youtube.com/watch?v=NkQ91grs9Z8
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-19/,"Geometrie pro 3. ročník, strana 19, cvičení 2",ztoweT1NnlM,https://www.youtube.com/watch?v=ztoweT1NnlM
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-19/,"Geometrie pro 3. ročník, strana 19, cvičení 3",xKquAWuPfsU,https://www.youtube.com/watch?v=xKquAWuPfsU
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-19/,"Geometrie pro 3. ročník, strana 19, cvičení 4",7aas8HLwxyA,https://www.youtube.com/watch?v=7aas8HLwxyA
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-20/,"Geometrie pro 3. ročník, strana 20, úvod",F2mK-YAPDa4,https://www.youtube.com/watch?v=F2mK-YAPDa4
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-20/,"Geometrie pro 3. ročník, strana 20, cvičení 1",B4yCN73lSlI,https://www.youtube.com/watch?v=B4yCN73lSlI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-20/,"Geometrie pro 3. ročník, strana 20, cvičení 2",5jZcN7FHu6U,https://www.youtube.com/watch?v=5jZcN7FHu6U
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-21/,"Geometrie pro 3. ročník, strana 21, úvod",3mAO4SY0RdU,https://www.youtube.com/watch?v=3mAO4SY0RdU
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-21/,"Geometrie pro 3. ročník, strana 21, cvičení 1",X55CW0V3uAI,https://www.youtube.com/watch?v=X55CW0V3uAI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-21/,"Geometrie pro 3. ročník, strana 21, cvičení 2",Ya1C0XC_Mpg,https://www.youtube.com/watch?v=Ya1C0XC_Mpg
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-22/,"Geometrie pro 3. ročník, strana 22, úvod",CDziy1mZ5xM,https://www.youtube.com/watch?v=CDziy1mZ5xM
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-22/,"Geometrie pro 3. ročník, strana 22, cvičení 1",O9mzINgZA5M,https://www.youtube.com/watch?v=O9mzINgZA5M
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-23/,"Geometrie pro 3. ročník, strana 23, úvod",U92h6Udc-q4,https://www.youtube.com/watch?v=U92h6Udc-q4
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-23/,"Geometrie pro 3. ročník, strana 23, cvičení 1",wYN4LhJhOC4,https://www.youtube.com/watch?v=wYN4LhJhOC4
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-23/,"Geometrie pro 3. ročník, strana 23, cvičení 2",nz8txb9Kpgg,https://www.youtube.com/watch?v=nz8txb9Kpgg
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-23/,"Geometrie pro 3. ročník, strana 23, cvičení 3A",Sh7M_3k89Ew,https://www.youtube.com/watch?v=Sh7M_3k89Ew
